date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-02-29 00:00:00,20200229,,election,,South Carolina Presidential Primary (Democrats),2020-02-29 00:00:00,South Carolina,,
2020-03-03 00:00:00,20200303,,election,,Arkansas Congressional & Presidential Primary,2020-03-03 00:00:00,Arkansas,,
2020-03-03 00:00:00,20200303,,election,,California Congressional & Presidential Primary,2020-03-03 00:00:00,California,,
2020-03-03 00:00:00,20200303,,election,,Colorado Presidential Primary,2020-03-03 00:00:00,Colorado,,
2020-03-03 00:00:00,20200303,,election,,Massachusetts Presidential Primary,2020-03-03 00:00:00,Massachusetts,,
2020-03-03 00:00:00,20200303,,election,,Minnesota Presidential Primary,2020-03-03 00:00:00,Minnesota,,
2020-03-03 00:00:00,20200303,,election,,North Carolina Congressional & Presidential Primary,2020-03-03 00:00:00,North Carolina,,
2020-03-03 00:00:00,20200303,,election,,Oklahoma Presidential Primary,2020-03-03 00:00:00,Oklahoma,,
2020-03-03 00:00:00,20200303,,election,,Tennessee Presidential Primary,2020-03-03 00:00:00,Tennessee,,
2020-03-03 00:00:00,20200303,,election,,Texas Congressional & Presidential Primary,2020-03-03 00:00:00,Texas,,
2020-03-03 00:00:00,20200303,,election,,Utah Presidential Primary,2020-03-03 00:00:00,Utah,,
2020-03-03 00:00:00,20200303,,election,,Vermont Presidential Primary,2020-03-03 00:00:00,Vermont,,
2020-03-03 00:00:00,20200303,,election,,Virginia Presidential Primary (Democrats),2020-03-03 00:00:00,Virginia,,
2020-03-10 00:00:00,20200310,,election,,Michigan Presidential Primary,2020-03-10 00:00:00,Michigan,,
2020-03-10 00:00:00,20200310,,election,,Washington Presidential Primary,2020-03-10 00:00:00,Washington,,
2020-03-17 00:00:00,20200317,,election,,Arizona Presidential Preference (Democrats),2020-03-17 00:00:00,Arizona,,
2020-03-17 00:00:00,20200317,,election,,Florida Presidential Primary,2020-03-17 00:00:00,Florida,,
2020-03-17 00:00:00,20200317,,election,,Illinois Congressional & Presidential Primary,2020-03-17 00:00:00,Illinois,,
2020-03-31 00:00:00,20200331,,election,,Arkansas Congressional Primary Run-Off (if needed),2020-03-31 00:00:00,Arkansas,,
2020-04-07 00:00:00,20200407,,election,,Wisconsin Presidential Primary,2020-04-07 00:00:00,Wisconsin,,
2020-04-28 00:00:00,20200428,,election,,New York Presidential Primary,2020-04-28 00:00:00,New York,,
