date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-03-03 00:00:00,20200303,,election,,Congressional & Presidential Primary,2020-03-03 00:00:00,California,,
2020-10-18 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration,,California,,False
2020-10-19 23:59:59,,20201103,deadline,registration.postmarked_by,Last day to postmark voter registration form,,California,,False
2020-10-19 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,California,,
2020-10-19 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration at the post office,,California,,False
2020-10-19 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,California,,
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,California,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,California,,
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,California,,
2020-11-03 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,California,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,California,,
2020-11-03 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,California,,
2020-11-12 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot,,California,,True
2020-11-13 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot at the post office,,California,,True
2020-11-20 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,California,,True
