date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-07-29 23:59:59,,20200811,reminder,registration.received_by,Mail voter registration,,Connecticut,,True
2020-07-30 23:59:59,,20200811,reminder,registration.received_by,Mail voter registration at the post office,,Connecticut,,True
2020-08-03 23:59:59,,20200811,reminder,absentee.received_by,Mail ballot,,Connecticut,,True
2020-08-04 23:59:59,,20200811,reminder,absentee.received_by,Mail ballot at the post office,,Connecticut,,True
2020-08-05 23:59:59,,20200811,reminder,registration.postmarked_by,Mail voter registration,,Connecticut,,False
2020-08-06 23:59:59,,20200811,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Connecticut,,True
2020-08-06 23:59:59,,20200811,deadline,registration.postmarked_by,Last day to postmark voter registration form,,Connecticut,,False
2020-08-06 23:59:59,,20200811,deadline,registration.online_by,Last day to register to vote online,,Connecticut,,
2020-08-06 23:59:59,,20200811,reminder,registration.postmarked_by,Mail voter registration at the post office,,Connecticut,,False
2020-08-06 23:59:59,,20200811,reminder,registration.online_by,Register to vote online,,Connecticut,,
2020-08-10 23:59:59,,20200811,reminder,poll.in_person_by,Plan to vote,,Connecticut,,
2020-08-11 00:00:00,20200811,,election,,Presidential Primary,2020-08-11 00:00:00,Connecticut,,
2020-08-11 23:59:59,,20200811,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Connecticut,,True
2020-08-11 23:59:59,,20200811,deadline,poll.in_person_by,Last day to vote in person,,Connecticut,,
2020-08-11 23:59:59,,20200811,deadline,registration.in_person_by,Last day to register to vote in person,,Connecticut,,
2020-08-11 23:59:59,,20200811,reminder,poll.in_person_by,Vote in person,,Connecticut,,
2020-08-11 23:59:59,,20200811,reminder,registration.in_person_by,Register to vote in person,,Connecticut,,
2020-10-26 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration,,Connecticut,,False
2020-10-26 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot,,Connecticut,,True
2020-10-27 23:59:59,,20201103,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Connecticut,,False
2020-10-27 23:59:59,,20201103,deadline,registration.postmarked_by,Last day to postmark voter registration form,,Connecticut,,False
2020-10-27 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,Connecticut,,
2020-10-27 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration at the post office,,Connecticut,,False
2020-10-27 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,Connecticut,,
2020-10-27 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot at the post office,,Connecticut,,True
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,Connecticut,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Connecticut,,
2020-11-03 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Connecticut,,True
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,Connecticut,,
2020-11-03 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,Connecticut,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,Connecticut,,
2020-11-03 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,Connecticut,,
