date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-03-17 00:00:00,20200317,,election,,Presidential Primary,2020-03-17 00:00:00,Florida,,
2020-07-12 23:59:59,,20200818,reminder,registration.received_by,Mail voter registration,,Florida,,True
2020-07-13 23:59:59,,20200818,reminder,registration.received_by,Mail voter registration at the post office,,Florida,,True
2020-07-20 23:59:59,,20200818,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Florida,,True
2020-08-10 23:59:59,,20200818,reminder,absentee.received_by,Mail ballot,,Florida,,True
2020-08-11 23:59:59,,20200818,reminder,absentee.received_by,Mail ballot at the post office,,Florida,,True
2020-08-15 23:59:59,,20200818,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Florida,,
2020-08-15 23:59:59,,20200818,reminder,absentee.in_person_by,Drop off ballot,,Florida,,
2020-08-17 23:59:59,,20200818,reminder,poll.in_person_by,Plan to vote,,Florida,,
2020-08-18 00:00:00,20200818,,election,,Congressional Primary,2020-08-18 00:00:00,Florida,,
2020-08-18 23:59:59,,20200818,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Florida,,True
2020-08-18 23:59:59,,20200818,deadline,poll.in_person_by,Last day to vote in person,,Florida,,
2020-08-18 23:59:59,,20200818,reminder,poll.in_person_by,Vote in person,,Florida,,
2020-09-27 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration,,Florida,,True
2020-09-28 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration at the post office,,Florida,,True
2020-10-05 23:59:59,,20201103,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Florida,,True
2020-10-26 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot,,Florida,,True
2020-10-27 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot at the post office,,Florida,,True
2020-10-31 23:59:59,,20201103,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Florida,,
2020-10-31 23:59:59,,20201103,reminder,absentee.in_person_by,Drop off ballot,,Florida,,
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,Florida,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Florida,,
2020-11-03 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Florida,,True
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,Florida,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,Florida,,
