date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-06-15 23:59:59,,20200623,deadline,absentee.application.online_by,Last day to apply online for a mail-in ballot,,kentucky,,
2020-06-15 23:59:59,,20200623,reminder,absentee.application.online_by,Apply for an absentee ballot online,,kentucky,,
2020-06-19 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot,,kentucky,,True
2020-06-20 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot at the post office,,kentucky,,True
2020-06-22 23:59:59,,20200623,reminder,poll.in_person_by,Plan to vote,,kentucky,,
2020-06-23 00:00:00,20200623,,election,,Presidential Primary,2020-06-23 00:00:00,kentucky,,
2020-06-23 23:59:59,,20200623,deadline,absentee.postmarked_by,Last day to postmark absentee ballots,,kentucky,,True
2020-06-23 23:59:59,,20200623,deadline,poll.in_person_by,Last day to vote in person,,kentucky,,
2020-06-23 23:59:59,,20200623,reminder,poll.in_person_by,Vote in person,,kentucky,,
2020-06-27 23:59:59,,20200623,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,kentucky,,True
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,,,
