date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-06-15 23:59:59,,20200623,deadline,absentee.application.online_by,Last day to apply online for a mail-in ballot,,Kentucky,,
2020-06-15 23:59:59,,20200623,reminder,absentee.application.online_by,Apply for an absentee ballot online,,Kentucky,,
2020-06-19 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot,,Kentucky,,True
2020-06-20 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot at the post office,,Kentucky,,True
2020-06-22 23:59:59,,20200623,reminder,absentee.postmarked_by,Mail ballot,,Kentucky,,False
2020-06-22 23:59:59,,20200623,reminder,poll.in_person_by,Plan to vote,,Kentucky,,
2020-06-23 00:00:00,20200623,,election,,Presidential Primary,2020-06-23 00:00:00,Kentucky,,
2020-06-23 23:59:59,,20200623,deadline,absentee.postmarked_by,Last day to postmark absentee ballots,,Kentucky,,False
2020-06-23 23:59:59,,20200623,deadline,poll.in_person_by,Last day to vote in person,,Kentucky,,
2020-06-23 23:59:59,,20200623,reminder,absentee.postmarked_by,Mail ballot at the post office,,Kentucky,,False
2020-06-23 23:59:59,,20200623,reminder,poll.in_person_by,Vote in person,,Kentucky,,
2020-06-27 23:59:59,,20200623,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Kentucky,,True
2020-09-27 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration,,Kentucky,,True
2020-09-28 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration at the post office,,Kentucky,,True
2020-10-05 23:59:59,,20201103,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Kentucky,,True
2020-10-05 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,Kentucky,,
2020-10-05 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,Kentucky,,
2020-10-05 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,Kentucky,,
2020-10-05 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,Kentucky,,
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,Kentucky,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Kentucky,,
2020-11-03 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Kentucky,,False
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,Kentucky,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,Kentucky,,
