date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-06-02 23:59:59,,20200711,reminder,registration.received_by,Mail voter registration,,Louisiana,,True
2020-06-03 23:59:59,,20200711,reminder,registration.received_by,Mail voter registration at the post office,,Louisiana,,True
2020-06-10 23:59:59,,20200711,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Louisiana,,True
2020-06-10 23:59:59,,20200711,deadline,registration.in_person_by,Last day to register to vote in person,,Louisiana,,
2020-06-10 23:59:59,,20200711,reminder,registration.in_person_by,Register to vote in person,,Louisiana,,
2020-06-20 23:59:59,,20200711,deadline,registration.online_by,Last day to register to vote online,,Louisiana,,
2020-06-20 23:59:59,,20200711,reminder,registration.online_by,Register to vote online,,Louisiana,,
2020-07-02 23:59:59,,20200711,reminder,absentee.received_by,Mail ballot,,Louisiana,,True
2020-07-03 23:59:59,,20200711,reminder,absentee.received_by,Mail ballot at the post office,,Louisiana,,True
2020-07-07 23:59:59,,20200815,reminder,registration.received_by,Mail voter registration,,Louisiana,,True
2020-07-08 23:59:59,,20200815,reminder,registration.received_by,Mail voter registration at the post office,,Louisiana,,True
2020-07-10 23:59:59,,20200711,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Louisiana,,True
2020-07-10 23:59:59,,20200711,reminder,poll.in_person_by,Plan to vote,,Louisiana,,
2020-07-11 00:00:00,20200711,,election,,Presidential Primary,2020-06-20 00:00:00,Louisiana,,
2020-07-11 23:59:59,,20200711,deadline,poll.in_person_by,Last day to vote in person,,Louisiana,,
2020-07-11 23:59:59,,20200711,reminder,poll.in_person_by,Vote in person,,Louisiana,,
2020-07-15 23:59:59,,20200815,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Louisiana,,True
2020-07-15 23:59:59,,20200815,deadline,registration.in_person_by,Last day to register to vote in person,,Louisiana,,
2020-07-15 23:59:59,,20200815,reminder,registration.in_person_by,Register to vote in person,,Louisiana,,
2020-07-25 23:59:59,,20200815,deadline,registration.online_by,Last day to register to vote online,,Louisiana,,
2020-07-25 23:59:59,,20200815,reminder,registration.online_by,Register to vote online,,Louisiana,,
2020-08-06 23:59:59,,20200815,reminder,absentee.received_by,Mail ballot,,Louisiana,,True
2020-08-07 23:59:59,,20200815,reminder,absentee.received_by,Mail ballot at the post office,,Louisiana,,True
