date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-03-03 00:00:00,20200303,,election,,Presidential Primary,2020-03-03 00:00:00,Massachusetts,,
2020-08-21 23:59:59,,20200901,reminder,registration.postmarked_by,Mail voter registration,,Massachusetts,,False
2020-08-22 23:59:59,,20200901,deadline,registration.in_person_by,Last day to register to vote in person,,Massachusetts,,
2020-08-22 23:59:59,,20200901,deadline,registration.postmarked_by,Last day to postmark voter registration form,,Massachusetts,,False
2020-08-22 23:59:59,,20200901,deadline,registration.online_by,Last day to register to vote online,,Massachusetts,,
2020-08-22 23:59:59,,20200901,reminder,registration.in_person_by,Register to vote in person,,Massachusetts,,
2020-08-22 23:59:59,,20200901,reminder,registration.postmarked_by,Mail voter registration at the post office,,Massachusetts,,False
2020-08-22 23:59:59,,20200901,reminder,registration.online_by,Register to vote online,,Massachusetts,,
2020-08-24 23:59:59,,20200901,reminder,absentee.received_by,Mail ballot,,Massachusetts,,True
2020-08-25 23:59:59,,20200901,reminder,absentee.received_by,Mail ballot at the post office,,Massachusetts,,True
2020-08-28 23:59:59,,20200901,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Massachusetts,,
2020-08-28 23:59:59,,20200901,reminder,absentee.in_person_by,Drop off ballot,,Massachusetts,,
2020-08-31 23:59:59,,20200901,reminder,poll.in_person_by,Plan to vote,,Massachusetts,,
2020-09-01 00:00:00,20200901,,election,,Congressional Primary,2020-09-01 00:00:00,Massachusetts,,
2020-09-01 23:59:59,,20200901,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Massachusetts,,True
2020-09-01 23:59:59,,20200901,deadline,poll.in_person_by,Last day to vote in person,,Massachusetts,,
2020-09-01 23:59:59,,20200901,reminder,poll.in_person_by,Vote in person,,Massachusetts,,
2020-10-23 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration,,Massachusetts,,False
2020-10-24 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,Massachusetts,,
2020-10-24 23:59:59,,20201103,deadline,registration.postmarked_by,Last day to postmark voter registration form,,Massachusetts,,False
2020-10-24 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,Massachusetts,,
2020-10-24 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,Massachusetts,,
2020-10-24 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration at the post office,,Massachusetts,,False
2020-10-24 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,Massachusetts,,
2020-10-29 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot,,Massachusetts,,True
2020-10-30 23:59:59,,20201103,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Massachusetts,,
2020-10-30 23:59:59,,20201103,reminder,absentee.in_person_by,Drop off ballot,,Massachusetts,,
2020-10-30 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot at the post office,,Massachusetts,,True
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,Massachusetts,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Massachusetts,,
2020-11-03 23:59:59,,20201103,deadline,absentee.postmarked_by,Last day to postmark absentee ballots,,Massachusetts,,True
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,Massachusetts,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,Massachusetts,,
2020-11-06 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Massachusetts,,True
