date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-03-03 00:00:00,20200303,,election,,Presidential Primary,2020-03-03 00:00:00,Minnesota,,
2020-07-13 23:59:59,,20200811,reminder,registration.received_by,Mail voter registration,,Minnesota,,True
2020-07-14 23:59:59,,20200811,reminder,registration.received_by,Mail voter registration at the post office,,Minnesota,,True
2020-07-21 23:59:59,,20200811,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Minnesota,,True
2020-07-21 23:59:59,,20200811,deadline,registration.online_by,Last day to register to vote online,,Minnesota,,
2020-07-21 23:59:59,,20200811,reminder,registration.online_by,Register to vote online,,Minnesota,,
2020-08-04 23:59:59,,20200811,reminder,absentee.received_by,Mail ballot,,Minnesota,,True
2020-08-05 23:59:59,,20200811,reminder,absentee.received_by,Mail ballot at the post office,,Minnesota,,True
2020-08-09 23:59:59,,20200811,reminder,absentee.postmarked_by,Mail ballot,,Minnesota,,False
2020-08-10 23:59:59,,20200811,deadline,absentee.postmarked_by,Last day to postmark absentee ballots,,Minnesota,,False
2020-08-10 23:59:59,,20200811,reminder,absentee.postmarked_by,Mail ballot at the post office,,Minnesota,,False
2020-08-10 23:59:59,,20200811,reminder,poll.in_person_by,Plan to vote,,Minnesota,,
2020-08-11 00:00:00,20200811,,election,,Congresssional Primary,2020-08-11 00:00:00,Minnesota,,
2020-08-11 23:59:59,,20200811,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Minnesota,,
2020-08-11 23:59:59,,20200811,deadline,poll.in_person_by,Last day to vote in person,,Minnesota,,
2020-08-11 23:59:59,,20200811,deadline,registration.in_person_by,Last day to register to vote in person,,Minnesota,,
2020-08-11 23:59:59,,20200811,reminder,absentee.in_person_by,Drop off ballot,,Minnesota,,
2020-08-11 23:59:59,,20200811,reminder,poll.in_person_by,Vote in person,,Minnesota,,
2020-08-11 23:59:59,,20200811,reminder,registration.in_person_by,Register to vote in person,,Minnesota,,
2020-08-12 23:59:59,,20200811,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Minnesota,,True
2020-10-05 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration,,Minnesota,,True
2020-10-06 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration at the post office,,Minnesota,,True
2020-10-13 23:59:59,,20201103,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Minnesota,,True
2020-10-13 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,Minnesota,,
2020-10-13 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,Minnesota,,
2020-11-02 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Minnesota,,False
2020-11-02 23:59:59,,20201103,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Minnesota,,
2020-11-02 23:59:59,,20201103,reminder,absentee.in_person_by,Drop off ballot,,Minnesota,,
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,Minnesota,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Minnesota,,
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,Minnesota,,
2020-11-03 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,Minnesota,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,Minnesota,,
2020-11-03 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,Minnesota,,
