date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-05-25 23:59:59,,20200623,reminder,registration.postmarked_by,Mail voter registration,,Mississippi,,False
2020-05-26 23:59:59,,20200623,deadline,registration.in_person_by,Last day to register to vote in person,,Mississippi,,
2020-05-26 23:59:59,,20200623,deadline,registration.postmarked_by,Last day to postmark voter registration form,,Mississippi,,False
2020-05-26 23:59:59,,20200623,reminder,registration.in_person_by,Register to vote in person,,Mississippi,,
2020-05-26 23:59:59,,20200623,reminder,registration.postmarked_by,Mail voter registration at the post office,,Mississippi,,False
2020-06-14 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot,,Mississippi,,True
2020-06-15 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot at the post office,,Mississippi,,True
2020-06-22 23:59:59,,20200623,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Mississippi,,True
2020-06-22 23:59:59,,20200623,reminder,poll.in_person_by,Plan to vote,,Mississippi,,
2020-06-23 00:00:00,20200623,,election,,Congressional Primary Run-Off,2020-06-23 00:00:00,Mississippi,,
2020-06-23 23:59:59,,20200623,deadline,poll.in_person_by,Last day to vote in person,,Mississippi,,
2020-06-23 23:59:59,,20200623,reminder,poll.in_person_by,Vote in person,,Mississippi,,
2020-10-04 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration,,Mississippi,,False
2020-10-05 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,Mississippi,,
2020-10-05 23:59:59,,20201103,deadline,registration.postmarked_by,Last day to postmark voter registration form,,Mississippi,,False
2020-10-05 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,Mississippi,,
2020-10-05 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration at the post office,,Mississippi,,False
2020-10-25 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot,,Mississippi,,True
2020-10-26 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot at the post office,,Mississippi,,True
2020-10-31 23:59:59,,20201103,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Mississippi,,
2020-10-31 23:59:59,,20201103,reminder,absentee.in_person_by,Drop off ballot,,Mississippi,,
2020-11-02 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Mississippi,,True
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,Mississippi,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Mississippi,,
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,Mississippi,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,Mississippi,,
