date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-06-09 00:00:00,20200609,,election,,Congressional Primary,2020-06-09 00:00:00,Nevada,,
2020-10-05 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration,,Nevada,,False
2020-10-06 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,Nevada,,
2020-10-06 23:59:59,,20201103,deadline,registration.postmarked_by,Last day to postmark voter registration form,,Nevada,,False
2020-10-06 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,Nevada,,
2020-10-06 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration at the post office,,Nevada,,False
2020-10-29 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,Nevada,,
2020-10-29 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,Nevada,,
2020-11-02 23:59:59,,20201103,reminder,absentee.postmarked_by,Mail ballot,,Nevada,,False
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,Nevada,,
2020-11-02 23:59:59,,20201103,reminder,poll.postmarked_by,Mail ballot,,Nevada,,False
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Nevada,,
2020-11-03 23:59:59,,20201103,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Nevada,,
2020-11-03 23:59:59,,20201103,deadline,absentee.postmarked_by,Last day to postmark absentee ballots,,Nevada,,False
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,Nevada,,
2020-11-03 23:59:59,,20201103,deadline,poll.postmarked_by,,,Nevada,,False
2020-11-03 23:59:59,,20201103,reminder,absentee.in_person_by,Drop off ballot,,Nevada,,
2020-11-03 23:59:59,,20201103,reminder,absentee.postmarked_by,Mail ballot at the post office,,Nevada,,False
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,Nevada,,
2020-11-03 23:59:59,,20201103,reminder,poll.postmarked_by,Mail ballot at the post office,,Nevada,,False
2020-11-10 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Nevada,,False
