date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-04-28 00:00:00,20200428,,election,,Congressional & Presidential Primary,2020-04-28 00:00:00,Ohio,,
2020-09-27 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration,,Ohio,,True
2020-09-28 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration at the post office,,Ohio,,True
2020-10-05 23:59:59,,20201103,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Ohio,,True
2020-10-05 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,Ohio,,
2020-10-05 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,Ohio,,
2020-11-01 23:59:59,,20201103,reminder,absentee.postmarked_by,Mail ballot,,Ohio,,False
2020-11-02 23:59:59,,20201103,deadline,absentee.postmarked_by,Last day to postmark absentee ballots,,Ohio,,False
2020-11-02 23:59:59,,20201103,reminder,absentee.postmarked_by,Mail ballot at the post office,,Ohio,,False
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,Ohio,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Ohio,,
2020-11-03 23:59:59,,20201103,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Ohio,,
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,Ohio,,
2020-11-03 23:59:59,,20201103,reminder,absentee.in_person_by,Drop off ballot,,Ohio,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,Ohio,,
2020-11-13 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Ohio,,False
