date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-05-19 00:00:00,20200519,,election,,Congressional & Presidential Primary,2020-05-19 00:00:00,Oregon,,
2020-10-05 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration,,Oregon,,True
2020-10-06 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration at the post office,,Oregon,,True
2020-10-13 23:59:59,,20201103,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Oregon,,True
2020-10-13 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,Oregon,,
2020-10-13 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,Oregon,,
2020-10-26 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot,,Oregon,,True
2020-10-26 23:59:59,,20201103,reminder,poll.received_by,Mail ballot,,Oregon,,True
2020-10-27 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot at the post office,,Oregon,,True
2020-10-27 23:59:59,,20201103,reminder,poll.received_by,Mail ballot at the post office,,Oregon,,True
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Oregon,,
2020-11-03 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Oregon,,True
2020-11-03 23:59:59,,20201103,deadline,poll.received_by,,,Oregon,,True
