date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-06-02 00:00:00,20200602,,election,,Presidential Primary,2020-06-02 00:00:00,Rhode Island,,
2020-08-01 23:59:59,,20200908,reminder,registration.received_by,Mail voter registration,,Rhode Island,,True
2020-08-02 23:59:59,,20200908,reminder,registration.received_by,Mail voter registration at the post office,,Rhode Island,,True
2020-08-09 23:59:59,,20200908,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Rhode Island,,True
2020-08-09 23:59:59,,20200908,deadline,registration.in_person_by,Last day to register to vote in person,,Rhode Island,,
2020-08-09 23:59:59,,20200908,deadline,registration.online_by,Last day to register to vote online,,Rhode Island,,
2020-08-09 23:59:59,,20200908,reminder,registration.in_person_by,Register to vote in person,,Rhode Island,,
2020-08-09 23:59:59,,20200908,reminder,registration.online_by,Register to vote online,,Rhode Island,,
2020-08-31 23:59:59,,20200908,reminder,absentee.received_by,Mail ballot,,Rhode Island,,True
2020-09-01 23:59:59,,20200908,reminder,absentee.received_by,Mail ballot at the post office,,Rhode Island,,True
2020-09-07 23:59:59,,20200908,reminder,poll.in_person_by,Plan to vote,,Rhode Island,,
2020-09-08 00:00:00,20200908,,election,,Congressional Primary,2020-09-08 00:00:00,Rhode Island,,
2020-09-08 23:59:59,,20200908,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Rhode Island,,True
2020-09-08 23:59:59,,20200908,deadline,poll.in_person_by,Last day to vote in person,,Rhode Island,,
2020-09-08 23:59:59,,20200908,reminder,poll.in_person_by,Vote in person,,Rhode Island,,
2020-09-26 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration,,Rhode Island,,True
2020-09-27 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration at the post office,,Rhode Island,,True
2020-10-04 23:59:59,,20201103,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Rhode Island,,True
2020-10-04 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,Rhode Island,,
2020-10-04 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,Rhode Island,,
2020-10-26 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot,,Rhode Island,,True
2020-10-27 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot at the post office,,Rhode Island,,True
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,Rhode Island,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Rhode Island,,
2020-11-03 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Rhode Island,,True
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,Rhode Island,,
2020-11-03 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,Rhode Island,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,Rhode Island,,
2020-11-03 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,Rhode Island,,
