date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-02-29 00:00:00,20200229,,election,,Presidential Primary (Democrats),2020-02-29 00:00:00,South Carolina,,
2020-06-09 00:00:00,20200609,,election,,Congressional Primary,2020-06-09 00:00:00,South Carolina,,
2020-06-15 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot,,South Carolina,,True
2020-06-16 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot at the post office,,South Carolina,,True
2020-06-22 23:59:59,,20200623,reminder,poll.in_person_by,Plan to vote,,South Carolina,,
2020-06-23 00:00:00,20200623,,election,,Congressional Primary Run-Off,2020-06-23 00:00:00,South Carolina,,
2020-06-23 23:59:59,,20200623,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,South Carolina,,True
2020-06-23 23:59:59,,20200623,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,South Carolina,,
2020-06-23 23:59:59,,20200623,deadline,poll.in_person_by,Last day to vote in person,,South Carolina,,
2020-06-23 23:59:59,,20200623,reminder,absentee.in_person_by,Drop off ballot,,South Carolina,,
2020-06-23 23:59:59,,20200623,reminder,poll.in_person_by,Vote in person,,South Carolina,,
2020-10-02 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,South Carolina,,
2020-10-02 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,South Carolina,,
2020-10-04 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,South Carolina,,
2020-10-04 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,South Carolina,,
2020-10-04 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration,,South Carolina,,False
2020-10-05 23:59:59,,20201103,deadline,registration.postmarked_by,Last day to postmark voter registration form,,South Carolina,,False
2020-10-05 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration at the post office,,South Carolina,,False
2020-10-16 23:59:59,,20201103,reminder,absentee.application.received_by,Mail absentee application,,South Carolina,,True
2020-10-17 23:59:59,,20201103,reminder,absentee.application.received_by,Mail absentee application at the post office,,South Carolina,,True
2020-10-24 23:59:59,,20201103,deadline,absentee.application.received_by,Last day for election officials to receive absentee applications,,South Carolina,,True
2020-10-24 23:59:59,,20201103,deadline,absentee.application.online_by,Last day to apply online for a mail-in ballot,,South Carolina,,
2020-10-24 23:59:59,,20201103,reminder,absentee.application.online_by,Apply for an absentee ballot online,,South Carolina,,
2020-10-26 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot,,South Carolina,,True
2020-10-27 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot at the post office,,South Carolina,,True
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,South Carolina,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,South Carolina,,
2020-11-03 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,South Carolina,,True
2020-11-03 23:59:59,,20201103,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,South Carolina,,
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,South Carolina,,
2020-11-03 23:59:59,,20201103,reminder,absentee.in_person_by,Drop off ballot,,South Carolina,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,South Carolina,,
