date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-02-29 00:00:00,south_carolina/20200229,,election,,Presidential Primary (Democrats),2020-02-29 00:00:00,south_carolina,,
2020-06-09 00:00:00,south_carolina/20200609,,election,,Congressional Primary,2020-06-09 00:00:00,south_carolina,,
2020-06-15 23:59:59,,south_carolina/20200623,reminder,absentee.received_by,Mail ballot! It must be received,,south_carolina,,True
2020-06-16 23:59:59,,south_carolina/20200623,reminder,absentee.received_by,Mail ballot at the post office! It must be received,,south_carolina,,True
2020-06-23 00:00:00,south_carolina/20200623,,election,,Congressional Primary Run-Off,2020-06-23 00:00:00,south_carolina,,
2020-06-23 23:59:59,,south_carolina/20200623,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,south_carolina,,True
2020-06-23 23:59:59,,south_carolina/20200623,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,south_carolina,,
2020-06-23 23:59:59,,south_carolina/20200623,deadline,poll.in_person_by,Last day to vote in person,,south_carolina,,
2020-06-23 23:59:59,,south_carolina/20200623,reminder,absentee.in_person_by,Drop off ballot,,south_carolina,,
2020-06-23 23:59:59,,south_carolina/20200623,reminder,poll.in_person_by,Vote in person,,south_carolina,,
2020-10-30 23:59:59,,20201103,deadline,absentee.application.online_by,Last day to apply online for a mail-in ballot,,south_carolina,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,,,
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,south_carolina,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,south_carolina,,
