date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-02-29 00:00:00,20200229,,election,,Presidential Primary (Democrats),2020-02-29 00:00:00,south_carolina,,
2020-06-15 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot,,south_carolina,,True
2020-06-16 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot at the post office,,south_carolina,,True
2020-06-22 23:59:59,,20200623,reminder,poll.in_person_by,Plan to vote,,south_carolina,,
2020-06-23 23:59:59,,20200623,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,south_carolina,,True
2020-06-23 23:59:59,,20200623,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,south_carolina,,
2020-06-23 23:59:59,,20200623,deadline,poll.in_person_by,Last day to vote in person,,south_carolina,,
2020-06-23 23:59:59,,20200623,reminder,absentee.in_person_by,Drop off ballot,,south_carolina,,
2020-06-23 23:59:59,,20200623,reminder,poll.in_person_by,Vote in person,,south_carolina,,
2020-10-02 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,south_carolina,,
2020-10-02 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,south_carolina,,
2020-10-04 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,south_carolina,,
2020-10-04 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,south_carolina,,
2020-10-04 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration,,south_carolina,,False
2020-10-05 23:59:59,,20201103,deadline,registration.postmarked_by,Last day to postmark voter registration form,,south_carolina,,False
2020-10-05 23:59:59,,20201103,reminder,registration.postmarked_by,Mail voter registration at the post office,,south_carolina,,False
2020-10-30 23:59:59,,20201103,deadline,absentee.application.online_by,Last day to apply online for a mail-in ballot,,south_carolina,,
2020-10-30 23:59:59,,20201103,reminder,absentee.application.online_by,Apply for an absentee ballot online,,south_carolina,,
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,south_carolina,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,,,
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,south_carolina,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,south_carolina,,
