date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-03-10 00:00:00,20200310,,election,,Presidential Primary,2020-03-10 00:00:00,Washington,,
2020-07-19 23:59:59,,20200804,reminder,registration.received_by,Mail voter registration,,Washington,,True
2020-07-20 23:59:59,,20200804,reminder,registration.received_by,Mail voter registration at the post office,,Washington,,True
2020-07-27 23:59:59,,20200804,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Washington,,True
2020-07-27 23:59:59,,20200804,deadline,registration.online_by,Last day to register to vote online,,Washington,,
2020-07-27 23:59:59,,20200804,reminder,registration.online_by,Register to vote online,,Washington,,
2020-08-03 23:59:59,,20200804,reminder,absentee.postmarked_by,Mail ballot,,Washington,,False
2020-08-04 00:00:00,20200804,,election,,Congressional Primary,2020-08-04 00:00:00,Washington,,
2020-08-04 23:59:59,,20200804,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Washington,,
2020-08-04 23:59:59,,20200804,deadline,absentee.postmarked_by,Last day to postmark absentee ballots,,Washington,,False
2020-08-04 23:59:59,,20200804,deadline,registration.in_person_by,Last day to register to vote in person,,Washington,,
2020-08-04 23:59:59,,20200804,reminder,absentee.in_person_by,Drop off ballot,,Washington,,
2020-08-04 23:59:59,,20200804,reminder,absentee.postmarked_by,Mail ballot at the post office,,Washington,,False
2020-08-04 23:59:59,,20200804,reminder,registration.in_person_by,Register to vote in person,,Washington,,
2020-10-18 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration,,Washington,,True
2020-10-19 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration at the post office,,Washington,,True
2020-10-26 23:59:59,,20201103,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Washington,,True
2020-10-26 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,Washington,,
2020-10-26 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,Washington,,
2020-11-02 23:59:59,,20201103,reminder,absentee.postmarked_by,Mail ballot,,Washington,,False
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Washington,,
2020-11-03 23:59:59,,20201103,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Washington,,
2020-11-03 23:59:59,,20201103,deadline,absentee.postmarked_by,Last day to postmark absentee ballots,,Washington,,False
2020-11-03 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,Washington,,
2020-11-03 23:59:59,,20201103,reminder,absentee.in_person_by,Drop off ballot,,Washington,,
2020-11-03 23:59:59,,20201103,reminder,absentee.postmarked_by,Mail ballot at the post office,,Washington,,False
2020-11-03 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,Washington,,
