date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-06-09 00:00:00,20200609,,election,,Congressional & Presidential Primary,2020-06-09 00:00:00,West Virginia,,
2020-10-05 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration,,West Virginia,,True
2020-10-06 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration at the post office,,West Virginia,,True
2020-10-13 23:59:59,,20201103,deadline,registration.received_by,Last day for election officials to receive voter registration form,,West Virginia,,True
2020-10-13 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,West Virginia,,
2020-10-13 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,West Virginia,,
2020-10-13 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,West Virginia,,
2020-10-13 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,West Virginia,,
2020-11-01 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot,,West Virginia,,True
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,West Virginia,,
2020-11-02 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot at the post office,,West Virginia,,True
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,West Virginia,,
2020-11-03 23:59:59,,20201103,deadline,absentee.postmarked_by,Last day to postmark absentee ballots,,West Virginia,,True
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,West Virginia,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,West Virginia,,
2020-11-09 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,West Virginia,,True
